id,customer_state,customer_account_duration,customer_area_code,has_international_plan,has_voice_mail_plan,voice_mail_message_count,daytime_total_minutes,daytime_total_calls,daytime_total_charges,evening_total_minutes,evening_total_calls,evening_total_charges,nighttime_total_minutes,nighttime_total_calls,nighttime_total_charges,intl_total_minutes,intl_total_calls,intl_total_charges,customer_service_call_count,churn
1551,MN,152.0,,True,True,,,120.0,37.11,,,19.8,268.6,80.0,10.96,14.2,3.0,,,1
1552,CA,72.0,,NO,True,39.0,,98.0,43.97,275.9,115.0,25.34,,,8.27,5.8,7.0,1.57,1.0,0
1553,MD,93.0,,True,False,,428.9,78.0,72.1,373.2,,28.46,158.6,103.0,6.65,11.1,2.0,3.0,,1
1554,UNKNOWN,142.0,area_code_415,FALSE,True,38.0,,104.0,,137.7,114.0,,252.8,127.0,11.44,4.3,6.0,1.16,0.0,0
1555,UNKNOWN,163.0,area_510,,False,0.0,269.7,118.0,46.21,109.2,,9.59,171.6,90.0,7.5,10.4,,2.81,0.0,0
1556,AZ,100.0,,0,False,,82.8,98.0,13.11,213.9,102.0,18.8,150.4,106.0,6.63,14.0,8.0,3.78,,0
1557,WY,34.0,408,FALSE,False,0.0,171.6,80.0,31.67,205.4,93.0,18.73,202.5,103.0,9.6,14.0,7.0,3.78,,0
1558,AZ,90.0,,,False,0.0,177.3,71.0,29.84,,81.0,27.44,128.5,91.0,5.64,10.6,7.0,2.86,,0
1559,SC,78.0,area_415,NO,False,0.0,318.5,105.0,51.6,281.5,,22.02,408.0,,,4.9,9.0,,1.0,0
1560,AL,100.0,area_code_415,0,False,,169.0,138.0,26.92,,92.0,34.58,147.5,120.0,6.69,11.2,2.0,3.02,0.0,0
1561,NY,,area_code_510,NO,False,0.0,139.1,102.0,25.16,297.9,111.0,,231.3,91.0,10.44,12.2,5.0,3.29,,0
1562,NJ,59.0,area_code_510,Yes,True,31.0,238.3,78.0,35.58,185.1,79.0,15.12,222.9,79.0,9.49,9.1,3.0,2.46,1.0,0
1563,UNKNOWN,,area_code_510,no,False,0.0,193.2,107.0,32.34,187.7,91.0,15.9,217.1,120.0,,16.5,7.0,4.46,5.0,0
1564,MS,,area_code_408,0,False,,154.5,98.0,27.31,212.9,,17.32,144.5,66.0,6.29,8.2,2.0,,1.0,0
1565,VT,,408,FALSE,False,0.0,133.1,125.0,21.7,159.1,88.0,13.04,233.8,,,12.6,,3.4,0.0,0
1566,VA,163.0,area_code_415,no,False,0.0,206.7,100.0,31.13,,46.0,,208.2,116.0,8.28,,3.0,3.46,,0
1567,NH,13.0,,False,False,0.0,196.6,89.0,30.57,419.9,90.0,32.58,189.8,,7.81,9.7,2.0,2.62,4.0,0
1568,UNKNOWN,155.0,,0,True,30.0,133.0,86.0,20.78,184.0,91.0,15.22,249.8,85.0,10.89,,6.0,1.84,4.0,0
1569,UT,61.0,415,1,True,29.0,,,,317.1,83.0,,245.8,114.0,12.25,11.7,6.0,3.16,3.0,0
1570,NJ,,area_code_510,NO,False,0.0,652.4,,104.18,172.5,126.0,13.91,204.0,,,7.5,5.0,2.03,1.0,0
1571,UNKNOWN,122.0,area_code_510,False,,22.0,,92.0,34.08,132.1,121.0,11.63,204.4,,9.05,8.6,5.0,,2.0,0
1572,PA,,,False,True,,150.4,90.0,,192.3,79.0,,240.4,,10.96,10.0,3.0,2.7,,0
1573,WA,,,no,False,0.0,,120.0,57.79,,119.0,26.52,384.5,86.0,,11.0,3.0,2.97,0.0,0
1574,UNKNOWN,30.0,area_510,False,False,,146.0,76.0,24.55,236.3,112.0,20.38,339.8,134.0,14.94,7.1,4.0,1.92,8.0,0
1575,VA,149.0,408,no,True,28.0,,117.0,55.06,166.3,86.0,12.27,221.5,88.0,9.04,0.0,0.0,0.0,1.0,0
1576,ND,,area_code_415,FALSE,,0.0,,102.0,26.5,,113.0,19.83,193.4,93.0,8.16,8.9,5.0,2.4,,0
1577,AZ,63.0,415,False,True,,,75.0,27.16,,103.0,19.86,175.4,,7.58,,3.0,3.05,3.0,0
1578,TN,127.0,area_code_408,,True,22.0,382.7,114.0,63.62,,,26.43,243.4,68.0,10.79,10.2,6.0,2.75,,0
1579,CO,74.0,area_code_415,TRUE,False,0.0,321.9,,60.65,472.9,,43.62,406.1,108.0,,8.3,,,,1
1580,CT,199.0,area_code_415,0,True,34.0,221.2,121.0,39.39,228.7,99.0,,305.0,94.0,13.54,8.0,2.0,,,0
1581,UNKNOWN,,408,NO,False,0.0,137.9,94.0,,208.0,126.0,,183.7,,,9.9,3.0,,,1
1582,UNKNOWN,48.0,415,0,True,37.0,200.2,115.0,,,84.0,14.27,144.9,80.0,6.81,12.2,1.0,3.29,1.0,0
1583,UNKNOWN,74.0,area_code_415,False,False,,,87.0,32.6,310.2,105.0,25.15,,118.0,15.31,10.0,2.0,,1.0,0
1584,UNKNOWN,50.0,,0,False,0.0,170.0,74.0,28.51,,98.0,15.29,165.8,73.0,7.49,10.9,2.0,2.94,4.0,0
1585,CT,141.0,area_code_408,NO,False,,,108.0,8.86,371.9,83.0,,223.4,,10.11,10.1,,,3.0,0
1586,ME,99.0,area_code_415,0,,,,102.0,37.66,370.4,89.0,31.87,,81.0,10.66,12.0,8.0,3.24,2.0,0
1587,IL,86.0,area_code_415,1,,,262.4,,46.18,,92.0,15.79,207.2,,9.48,,4.0,,,0
1588,OH,29.0,,,False,0.0,312.6,81.0,,,110.0,14.28,,98.0,,12.7,7.0,3.43,2.0,0
1589,HI,105.0,area_code_415,0,False,,,99.0,,,66.0,15.3,,,10.16,14.7,7.0,3.97,,0
1590,DC,88.0,area_code_408,,False,0.0,209.2,100.0,35.8,201.4,98.0,16.94,194.2,62.0,,2.0,11.0,,4.0,0
1591,WY,3.0,area_code_415,FALSE,,23.0,,102.0,36.88,206.2,83.0,18.8,184.3,99.0,8.66,6.4,4.0,1.73,0.0,0
1592,TX,66.0,area_415,0,,35.0,,100.0,31.63,,93.0,21.66,408.0,,,8.9,6.0,,0.0,0
1593,OH,98.0,,FALSE,False,,,129.0,28.05,199.6,,17.22,329.9,94.0,15.0,12.5,7.0,3.38,1.0,1
1594,KY,155.0,,NO,False,0.0,185.9,102.0,34.4,193.1,117.0,18.26,228.4,,11.17,7.8,1.0,2.11,1.0,0
1595,GA,,area_code_408,Yes,False,,,102.0,32.74,247.8,102.0,23.02,155.8,66.0,7.5,8.8,4.0,,,0
1596,NV,70.0,415,,False,0.0,210.6,,38.01,233.7,103.0,,334.2,117.0,16.3,,5.0,,7.0,0
1597,IL,158.0,,FALSE,True,19.0,,88.0,22.14,,82.0,20.4,191.0,87.0,8.96,10.1,3.0,2.73,3.0,0
1598,HI,101.0,415,0,False,0.0,246.9,89.0,43.85,395.5,114.0,34.64,154.7,,7.07,9.7,7.0,2.62,4.0,0
1599,DE,115.0,area_code_415,no,False,0.0,185.0,,35.05,215.0,108.0,20.31,306.4,113.0,14.83,,1.0,3.56,2.0,0
1600,CT,162.0,area_408,No,False,0.0,48.5,121.0,8.4,142.7,136.0,,207.5,97.0,9.18,,13.0,3.27,1.0,0
1601,CA,185.0,area_code_408,No,False,,477.1,92.0,87.94,252.9,,23.38,156.2,79.0,7.82,10.8,4.0,,,0
1602,UNKNOWN,79.0,area_408,,True,30.0,130.8,99.0,19.75,,,16.43,173.2,,7.34,4.6,3.0,1.24,5.0,0
1603,UNKNOWN,106.0,area_510,No,False,0.0,,107.0,,,71.0,17.03,453.7,79.0,20.32,10.7,4.0,,1.0,0
1604,WA,121.0,510,FALSE,,0.0,249.2,93.0,41.08,414.0,97.0,34.1,200.6,,,8.8,3.0,2.38,3.0,1
1605,LA,9.0,area_code_415,0,True,,225.1,108.0,35.61,176.5,,14.07,328.2,117.0,,10.1,3.0,2.73,1.0,0
1606,UNKNOWN,97.0,area_code_510,False,False,0.0,248.1,89.0,42.08,359.8,,28.35,,67.0,,8.8,5.0,2.38,1.0,1
1607,IA,21.0,408,0,False,0.0,143.1,,23.9,181.7,,16.17,195.0,105.0,8.9,12.1,1.0,3.27,5.0,0
1608,KS,,area_code_415,False,False,,421.3,120.0,80.5,423.9,96.0,,165.2,,8.12,11.1,4.0,,8.0,1
1609,TX,82.0,,0,,0.0,295.1,96.0,48.76,198.5,,,206.1,60.0,9.04,7.1,1.0,1.92,4.0,0
1610,UNKNOWN,131.0,area_415,NO,False,0.0,106.8,,20.98,191.7,116.0,18.54,141.4,,,10.1,,,0.0,0
1611,NY,,area_code_415,0,False,,146.9,115.0,24.99,,66.0,22.37,257.8,113.0,,,9.0,2.0,3.0,0
1612,HI,24.0,415,NO,False,,,104.0,32.6,,,7.79,,116.0,,7.3,,1.97,,0
1613,NH,122.0,area_code_415,0,True,,206.1,123.0,32.46,449.0,,36.3,128.7,,5.31,10.7,1.0,2.89,6.0,0
1614,IL,124.0,area_code_510,No,False,0.0,245.1,80.0,43.89,,,,266.8,,11.99,12.0,3.0,3.24,,1
1615,WV,148.0,area_code_415,no,True,26.0,,150.0,43.92,,138.0,29.54,232.6,91.0,11.2,15.2,4.0,4.1,,0
1616,NV,86.0,510,no,False,0.0,134.4,72.0,26.11,,95.0,14.26,209.8,91.0,10.3,8.2,5.0,2.21,1.0,0
1617,UT,139.0,area_415,0,False,0.0,,132.0,30.44,247.8,86.0,23.03,169.6,,,12.6,8.0,,1.0,0
1618,UNKNOWN,179.0,,0,False,0.0,,,65.19,,114.0,26.16,,112.0,21.37,10.5,4.0,2.84,,1
1619,IN,,area_code_415,No,False,0.0,280.0,114.0,41.95,466.8,71.0,34.6,190.6,,7.93,13.7,2.0,3.7,5.0,1
1620,NE,73.0,,no,False,0.0,,94.0,32.97,276.8,101.0,23.22,146.7,87.0,6.43,14.8,,,,0
1621,UNKNOWN,34.0,area_code_415,False,False,0.0,,102.0,23.17,133.2,101.0,10.08,,,7.58,,,,3.0,0
1622,WY,2.0,area_code_415,False,True,27.0,,125.0,25.43,164.0,136.0,14.42,,81.0,,9.3,,2.51,,0
1623,OH,,415,,False,0.0,,94.0,35.63,189.7,106.0,16.41,,90.0,,,4.0,3.35,0.0,0
1624,NJ,165.0,,False,,17.0,183.6,68.0,28.13,149.9,112.0,12.17,249.5,121.0,,,7.0,2.86,,0
1625,ME,52.0,area_code_510,NO,False,0.0,134.7,80.0,21.89,135.0,101.0,12.08,256.6,89.0,11.57,12.3,4.0,3.32,8.0,0
1626,FL,112.0,,no,False,,451.4,81.0,74.98,191.8,,15.71,,111.0,10.39,,4.0,2.7,,0
1627,UNKNOWN,86.0,,False,True,16.0,,88.0,82.23,364.6,,32.09,,,9.73,11.3,7.0,,0.0,0
1628,KS,121.0,area_code_408,no,False,,148.2,105.0,27.5,,133.0,32.2,,,,9.2,15.0,,1.0,0
1629,ND,,510,FALSE,False,,170.7,80.0,28.06,,,18.18,174.6,105.0,7.28,,,3.97,,0
1630,UNKNOWN,60.0,,No,False,0.0,275.9,101.0,45.83,248.3,115.0,20.21,243.5,76.0,10.17,,4.0,3.16,2.0,1
1631,UNKNOWN,114.0,area_code_415,0,True,,217.0,,39.87,184.2,105.0,16.15,151.2,101.0,,13.0,4.0,,0.0,0
1632,UNKNOWN,116.0,415,0,True,44.0,225.1,94.0,42.54,215.1,103.0,,249.0,76.0,11.92,11.1,2.0,,0.0,0
1633,SC,90.0,area_408,false,True,29.0,149.7,109.0,23.1,432.2,103.0,32.59,177.8,97.0,,5.8,4.0,1.57,1.0,0
1634,MT,113.0,415,FALSE,False,0.0,300.2,,49.03,141.7,91.0,11.84,161.9,110.0,7.26,11.3,,3.05,2.0,0
1635,PA,,408,0,False,0.0,,,,224.3,97.0,19.01,74.1,,3.38,9.8,5.0,2.65,5.0,0
1636,MI,,area_code_415,NO,False,,276.1,83.0,51.15,208.1,144.0,18.85,203.1,,,15.6,3.0,,3.0,0
1637,ND,,area_code_510,,True,,128.2,54.0,19.98,,105.0,39.56,230.1,,9.7,,4.0,1.57,2.0,0
1638,FL,,area_code_408,false,False,0.0,90.2,128.0,14.52,256.8,89.0,19.68,212.0,110.0,8.83,10.8,16.0,2.92,3.0,0
1639,UNKNOWN,135.0,area_code_510,0,False,0.0,,130.0,24.7,200.3,90.0,16.3,160.5,59.0,,11.8,3.0,3.19,0.0,0
1640,OK,84.0,510,FALSE,False,0.0,202.9,125.0,33.09,,,14.88,,,,13.8,2.0,3.73,1.0,0
1641,NJ,134.0,,0,,34.0,262.2,105.0,39.08,219.8,133.0,17.83,185.5,76.0,7.79,6.1,5.0,1.65,5.0,1
1642,ID,77.0,415,No,False,,243.0,72.0,40.28,206.6,126.0,16.45,406.8,,,9.8,7.0,2.65,2.0,1
1643,NJ,106.0,area_code_415,NO,False,0.0,195.4,,30.27,345.6,,27.9,226.4,76.0,9.63,8.2,3.0,2.21,1.0,0
1644,NY,,,NO,False,0.0,205.6,92.0,34.33,350.1,99.0,30.2,217.6,83.0,,,6.0,1.97,2.0,1
1645,IA,117.0,,No,,0.0,227.6,85.0,39.2,139.0,68.0,12.26,218.8,90.0,,6.9,5.0,1.86,,0
1646,UNKNOWN,130.0,area_code_408,,False,0.0,169.8,140.0,29.85,211.3,104.0,17.02,160.9,123.0,7.26,11.3,5.0,3.05,1.0,0
1647,MD,76.0,area_code_415,yes,False,,275.8,66.0,44.08,,121.0,21.26,167.1,84.0,7.05,12.0,,3.24,,1
1648,AZ,138.0,,0,False,0.0,403.2,104.0,67.62,152.2,92.0,12.03,125.8,98.0,5.55,,1.0,3.13,,0
1649,SD,125.0,area_code_510,0,True,34.0,267.4,112.0,48.65,491.0,108.0,42.64,,,15.99,10.3,3.0,2.78,,0
1650,MA,90.0,,FALSE,False,,306.5,72.0,47.25,222.7,93.0,,210.1,86.0,,,,3.29,,0
1651,MD,51.0,area_code_510,No,True,28.0,,121.0,44.63,210.8,99.0,16.42,244.6,88.0,10.51,8.3,3.0,,0.0,0
1652,NV,107.0,510,True,False,0.0,231.9,91.0,43.26,156.3,105.0,15.06,,100.0,13.81,10.0,,,1.0,0
1653,IN,161.0,,False,,,,112.0,37.21,190.9,102.0,15.62,207.8,112.0,8.44,16.1,6.0,4.35,,0
1654,UNKNOWN,,area_code_510,1,False,0.0,240.7,120.0,44.53,239.4,96.0,21.41,219.1,67.0,,9.9,1.0,2.67,1.0,1
1655,RI,113.0,415,FALSE,False,,88.5,,16.85,177.6,100.0,15.86,,,6.76,5.4,9.0,1.46,3.0,0
1656,OK,,415,False,False,0.0,198.5,96.0,33.04,,126.0,17.65,182.2,122.0,,,2.0,3.65,3.0,0
1657,ND,132.0,,NO,,0.0,168.1,,25.52,161.3,,13.11,,,,,10.0,1.67,1.0,0
1658,MN,,area_code_415,0,False,0.0,192.7,83.0,30.36,486.8,97.0,35.84,,,9.6,9.0,3.0,2.43,,0
1659,KS,67.0,,,False,,211.7,101.0,36.75,97.4,,8.91,205.2,,9.78,7.0,3.0,1.89,0.0,0
1660,NJ,93.0,,Yes,True,20.0,372.6,110.0,56.74,,,13.42,176.7,,7.34,12.1,4.0,,1.0,0
1661,ID,106.0,area_code_510,0,False,,,120.0,43.89,,82.0,,158.3,62.0,6.81,6.0,3.0,,1.0,0
1662,WV,,area_code_510,0,True,21.0,426.2,119.0,75.96,110.7,95.0,9.53,159.8,94.0,7.47,5.3,3.0,,,0
1663,WI,,,FALSE,,,,87.0,15.23,133.5,73.0,11.76,162.6,114.0,,,,2.89,1.0,0
1664,WV,,415,no,False,0.0,58.5,125.0,10.4,,116.0,6.06,188.8,136.0,8.83,11.5,3.0,3.11,0.0,0
1665,OR,45.0,415,FALSE,True,32.0,431.4,85.0,66.56,230.1,101.0,19.44,,88.0,,7.7,3.0,2.08,2.0,0
1666,UNKNOWN,116.0,area_code_415,FALSE,True,17.0,,112.0,30.44,243.1,131.0,18.93,,98.0,,11.4,,3.08,5.0,0
1667,UNKNOWN,,415,0,False,0.0,127.8,115.0,19.4,,91.0,10.26,246.6,119.0,10.16,,,3.02,,0
1668,MI,,area_code_415,No,False,,200.2,97.0,37.03,286.6,128.0,24.74,,118.0,15.98,11.0,5.0,2.97,1.0,0
1669,CT,146.0,area_code_408,false,True,23.0,144.5,,25.55,425.8,124.0,,295.3,,13.27,7.4,4.0,2.0,2.0,0
1670,MT,73.0,415,,False,0.0,157.6,110.0,27.65,428.8,72.0,38.6,,,7.95,13.0,4.0,3.51,0.0,0
1671,MD,125.0,,FALSE,False,0.0,133.7,94.0,22.11,210.7,83.0,16.92,235.1,,10.18,8.6,,,6.0,0
1672,SC,41.0,area_code_408,,,,243.5,92.0,,218.1,155.0,17.2,,90.0,8.85,10.2,,2.75,2.0,0
1673,MA,,area_415,No,False,0.0,280.6,124.0,41.71,238.1,112.0,19.33,162.9,,,14.8,2.0,4.0,1.0,1
1674,WV,166.0,area_code_408,0,True,41.0,193.3,109.0,35.28,305.4,107.0,27.43,199.9,94.0,9.41,11.0,5.0,2.97,5.0,1
1675,OR,165.0,,no,,,118.2,140.0,18.04,,111.0,17.24,266.2,115.0,11.45,16.0,3.0,4.32,0.0,0
1676,MA,123.0,area_code_415,No,False,0.0,217.6,49.0,32.98,240.6,117.0,18.7,242.2,98.0,9.97,9.8,11.0,,1.0,0
1677,IN,96.0,area_code_415,0,True,45.0,526.5,124.0,85.59,,77.0,10.86,258.6,102.0,10.8,10.3,2.0,2.78,,0
1678,TX,119.0,area_code_510,,False,0.0,,75.0,13.57,251.7,114.0,21.03,210.3,125.0,9.35,,1.0,2.4,3.0,1
1679,IA,84.0,,false,False,0.0,436.7,96.0,74.3,202.0,,,,82.0,,8.6,2.0,2.32,2.0,0
1680,NY,68.0,area_code_415,no,False,,384.7,80.0,,,143.0,,279.1,119.0,12.51,14.9,1.0,,3.0,1
1681,UNKNOWN,27.0,area_408,0,False,0.0,79.8,105.0,13.74,207.8,99.0,16.96,,122.0,9.87,9.1,,,,0
1682,DE,,,,,,,,36.02,143.7,89.0,12.86,,127.0,7.12,12.3,3.0,3.32,1.0,0
1683,WA,,area_code_415,,False,0.0,222.3,65.0,37.11,327.2,80.0,26.52,109.5,,,8.5,3.0,2.3,1.0,0
1684,GA,132.0,area_code_415,False,False,0.0,176.9,,,,80.0,22.56,174.7,120.0,8.62,9.1,4.0,,2.0,0
1685,NH,115.0,area_code_510,0,False,,109.3,148.0,17.36,225.2,87.0,17.71,240.1,,10.06,15.4,8.0,4.16,3.0,0
1686,MA,112.0,area_code_415,no,,17.0,185.4,95.0,28.85,,125.0,19.91,408.3,95.0,16.68,9.7,3.0,2.62,,0
1687,AL,115.0,area_510,,True,14.0,195.8,86.0,32.29,93.0,90.0,7.45,407.4,,17.78,,3.0,2.84,4.0,0
1688,MA,113.0,,,False,,187.7,93.0,30.42,217.6,85.0,,212.7,102.0,,11.1,2.0,3.0,1.0,0
1689,VT,122.0,415,NO,,0.0,130.0,115.0,21.84,,137.0,,191.6,110.0,,8.6,4.0,,0.0,0
1690,ME,148.0,area_code_408,FALSE,True,33.0,,84.0,78.69,169.4,84.0,,164.0,80.0,7.2,,3.0,,,0
1691,IN,80.0,415,False,False,0.0,,116.0,16.49,100.5,67.0,8.11,179.2,124.0,7.5,8.2,5.0,2.21,1.0,0
1692,LA,155.0,area_415,FALSE,False,0.0,215.0,100.0,33.83,184.4,104.0,15.88,194.2,119.0,8.63,,4.0,2.4,0.0,1
1693,UNKNOWN,,,0,True,36.0,74.2,141.0,12.91,202.1,,,403.1,115.0,17.62,10.9,,2.94,4.0,0
1694,SD,,area_code_415,no,False,0.0,,,31.63,187.2,103.0,16.33,176.1,89.0,,,2.0,2.89,2.0,0
1695,UNKNOWN,69.0,,0,False,0.0,117.8,86.0,,433.7,68.0,38.04,195.4,,9.02,11.6,10.0,3.13,,0
1696,ID,119.0,area_code_415,No,False,0.0,,117.0,36.85,238.6,101.0,,195.4,,8.4,,,2.05,,0
1697,MS,108.0,area_code_415,No,True,28.0,230.7,117.0,37.17,160.5,102.0,13.1,156.8,80.0,,,3.0,2.35,0.0,0
1698,UNKNOWN,87.0,area_code_415,no,True,22.0,261.0,65.0,47.34,98.1,115.0,9.28,524.9,109.0,25.33,,3.0,2.3,3.0,0
1699,MS,,area_code_415,,False,0.0,,114.0,19.7,383.9,105.0,,206.3,98.0,9.04,14.4,2.0,3.89,2.0,0
1700,ID,,510,NO,False,0.0,185.7,112.0,,204.1,95.0,,214.8,,9.06,9.2,7.0,2.48,0.0,0
1701,RI,,area_code_510,No,False,0.0,234.2,129.0,41.08,252.9,108.0,22.52,233.3,75.0,11.49,,5.0,1.73,,0
1702,UNKNOWN,104.0,area_code_415,0,False,0.0,265.5,108.0,45.63,,75.0,11.43,177.9,91.0,8.13,,,2.86,3.0,0
1703,IN,96.0,area_415,NO,,23.0,180.6,88.0,28.34,150.9,89.0,11.41,354.3,108.0,,11.3,7.0,3.05,,0
1704,UNKNOWN,35.0,area_code_415,false,False,0.0,130.3,102.0,21.51,121.0,115.0,10.73,133.8,,,13.1,8.0,3.54,2.0,0
1705,WV,78.0,area_code_510,FALSE,,26.0,195.9,98.0,,201.2,67.0,,215.9,,,11.3,3.0,3.05,0.0,0
1706,AL,106.0,area_code_415,NO,False,0.0,356.6,110.0,63.22,185.9,69.0,15.71,130.2,,5.69,6.3,3.0,1.7,,0
1707,ME,116.0,area_510,False,False,,237.0,93.0,,183.6,111.0,,171.9,91.0,7.54,,3.0,,2.0,0
1708,GA,69.0,area_code_408,0,False,0.0,,122.0,39.91,275.4,114.0,,,129.0,,6.1,5.0,1.65,4.0,1
1709,WY,62.0,area_415,False,False,0.0,,77.0,20.91,,111.0,16.7,177.0,,8.58,16.1,2.0,4.35,3.0,0
1710,MT,60.0,415,NO,False,,,133.0,25.04,210.8,92.0,18.05,325.8,112.0,15.01,14.6,,3.94,,0
1711,TN,80.0,area_code_415,1,False,0.0,289.6,,46.01,202.6,79.0,16.28,212.7,78.0,,7.2,3.0,1.94,4.0,1
1712,NM,,,0,False,0.0,168.6,92.0,27.62,,100.0,18.45,166.7,,7.37,12.9,3.0,,5.0,0
1713,UNKNOWN,105.0,area_code_510,NO,False,,,93.0,31.95,223.4,103.0,18.7,,121.0,7.18,6.9,5.0,1.86,,0
1714,WY,87.0,415,,True,16.0,258.9,91.0,46.19,383.4,101.0,,142.9,73.0,,14.7,2.0,,,0
1715,DE,103.0,area_code_415,No,True,,,,24.84,,108.0,12.7,,77.0,8.7,11.8,7.0,3.19,1.0,0
1716,MA,117.0,area_code_408,0,,0.0,313.8,83.0,47.66,176.5,106.0,13.16,413.8,,17.6,10.4,7.0,2.81,1.0,1
1717,MI,110.0,area_415,no,False,0.0,97.4,127.0,17.05,291.0,97.0,,169.3,69.0,8.09,10.3,6.0,2.78,2.0,0
1718,ND,104.0,area_code_415,False,False,0.0,115.9,92.0,18.54,171.8,,,261.5,,,,,3.27,,0
1719,MT,160.0,415,0,False,,100.7,,16.84,,,,,,11.67,13.2,,,3.0,0
1720,VT,125.0,area_code_415,False,False,,156.3,113.0,24.44,164.0,131.0,12.42,202.7,112.0,8.72,,7.0,3.89,,0
1721,UNKNOWN,146.0,area_408,No,False,,156.1,83.0,27.04,198.1,130.0,,370.3,100.0,18.11,7.9,4.0,2.13,,1
1722,AR,122.0,area_code_415,,False,0.0,146.3,117.0,24.94,,93.0,,236.6,97.0,,11.5,,3.11,1.0,0
1723,NH,120.0,,False,True,43.0,,,28.15,,70.0,13.85,399.9,,,11.5,4.0,3.11,,0
1724,UNKNOWN,49.0,,No,False,0.0,202.9,105.0,34.39,562.5,131.0,45.99,192.1,88.0,,9.0,2.0,2.43,,1
1725,KS,116.0,area_code_510,0,False,,181.4,90.0,34.58,,118.0,17.31,205.9,83.0,9.94,13.1,2.0,3.54,1.0,0
1726,UNKNOWN,104.0,area_415,false,False,,190.1,,,,,15.27,222.7,84.0,,13.0,,3.51,0.0,0
1727,VA,121.0,415,0,False,0.0,132.3,112.0,20.58,389.2,104.0,31.59,163.2,139.0,6.48,10.5,2.0,2.84,,0
1728,MD,,area_510,0,False,0.0,119.5,88.0,19.86,364.4,84.0,,182.5,88.0,,12.0,,3.24,5.0,1
1729,AL,122.0,area_code_415,No,False,0.0,,96.0,39.05,368.5,120.0,32.6,211.7,91.0,9.5,11.9,2.0,3.21,0.0,0
1730,UNKNOWN,83.0,area_415,1,True,32.0,94.2,111.0,15.15,300.1,98.0,25.4,,109.0,,10.6,,2.86,4.0,0
1731,VT,95.0,,False,False,0.0,,96.0,32.5,,61.0,13.47,174.4,,7.32,13.7,3.0,3.7,2.0,0
1732,OK,46.0,area_code_415,False,False,0.0,159.7,,26.71,199.8,153.0,15.96,237.3,119.0,10.16,8.1,1.0,2.19,,0
1733,UT,,,No,False,0.0,,112.0,50.13,148.9,96.0,14.3,201.1,97.0,9.75,6.6,4.0,1.78,3.0,0
1734,MO,101.0,,No,True,29.0,,116.0,22.0,179.0,,16.93,237.7,,11.63,10.1,,2.73,,0
1735,UNKNOWN,127.0,area_code_415,No,True,28.0,237.4,124.0,,238.5,113.0,19.7,241.5,127.0,10.62,7.7,,2.08,4.0,0
1736,UNKNOWN,61.0,area_code_415,0,,0.0,220.3,,,254.8,108.0,20.65,213.3,,8.9,8.7,3.0,,,0
1737,PA,25.0,415,,False,,,77.0,,205.5,81.0,,230.4,59.0,10.62,12.2,4.0,3.29,2.0,0
1738,NE,127.0,408,0,False,0.0,,110.0,22.53,340.2,116.0,28.36,210.0,88.0,,10.7,4.0,,2.0,0
1739,NH,37.0,area_code_415,,False,0.0,369.5,,61.44,193.0,88.0,,312.3,86.0,12.86,8.4,,2.27,5.0,0
1740,AK,83.0,,,False,0.0,,85.0,87.17,,114.0,,199.5,110.0,,14.7,6.0,3.97,1.0,0
1741,UNKNOWN,91.0,area_code_415,NO,False,,36.3,85.0,,199.9,80.0,17.26,259.8,71.0,12.17,,7.0,2.13,0.0,0
1742,MD,73.0,,False,,0.0,,80.0,41.08,85.5,79.0,,151.6,60.0,6.55,10.6,8.0,,0.0,0
1743,WV,50.0,area_code_408,,False,0.0,267.9,129.0,47.48,158.5,94.0,,202.6,88.0,9.82,5.6,,1.51,,1
1744,OR,99.0,408,False,False,,219.9,118.0,35.72,,104.0,11.22,199.2,96.0,8.5,12.1,4.0,,3.0,0
1745,OH,135.0,area_code_510,,False,0.0,,123.0,19.16,271.3,90.0,,247.1,110.0,11.34,10.4,2.0,,,0
1746,MO,,,NO,False,0.0,162.8,117.0,29.58,460.8,121.0,,246.9,140.0,11.66,14.2,2.0,3.83,4.0,0
1747,MO,,area_510,false,True,29.0,,104.0,51.29,224.2,101.0,20.21,376.6,92.0,,7.9,6.0,,,0
1748,WV,,area_code_415,false,False,0.0,186.2,107.0,32.46,184.3,,16.89,,,8.35,9.9,4.0,2.67,,0
1749,UNKNOWN,,,no,True,31.0,595.1,69.0,98.21,142.8,81.0,10.59,122.7,104.0,5.01,7.5,5.0,2.03,1.0,1
1750,WV,,415,No,False,0.0,134.9,95.0,25.42,231.5,100.0,19.82,,71.0,10.78,10.2,3.0,,,0
1751,MO,106.0,415,,False,0.0,252.0,104.0,45.95,80.2,101.0,7.12,230.4,,11.19,0.0,0.0,0.0,2.0,0
1752,KY,80.0,415,NO,,0.0,549.4,114.0,99.76,207.3,76.0,19.35,166.5,,8.31,12.1,3.0,3.27,2.0,0
1753,NE,139.0,,No,,,217.1,103.0,35.1,,,31.29,193.1,70.0,8.54,5.6,4.0,,,0
1754,WV,77.0,510,no,False,,259.2,68.0,44.31,205.3,86.0,,232.6,137.0,,,2.0,,,0
1755,IN,140.0,area_code_415,,False,0.0,,100.0,31.69,,107.0,9.82,205.4,115.0,8.31,12.1,4.0,,,0
1756,WV,173.0,area_code_510,0,False,0.0,109.9,103.0,19.62,,111.0,9.08,170.8,106.0,7.94,,7.0,2.11,1.0,0
